ActiveErrorsDataType,15001,VariableType
TCD_Interface_DeviceZone_Temperature_SetValue,15002,Variable
TCD_Interface_DeviceZone_Temperature_SetValue_Definition,15003,Variable
TimeZoneDataType,15004,DataType
TCD_Interface_DeviceZone_Temperature_SetValue_ValuePrecision,15005,Variable
TCD_Interface_DeviceZone_Temperature_SetValue_InstrumentRange,15006,Variable
ActiveErrorDataType,15007,DataType
IdentificationType,15008,ObjectType
TCD_Interface_DeviceZone_MaintenanceInformation,15009,Object
TCD_Interface_DeviceZone_MaintenanceInformation_Heating,15010,Object
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval,15011,Variable
IdentificationType_SerialNumber,15012,Variable
IdentificationType_Model,15013,Variable
IdentificationType_Manufacturer,15014,Variable
IdentificationType_DeviceClass,15015,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval_Definition,15016,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval_ValuePrecision,15017,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval_InstrumentRange,15018,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval_EURange,15019,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_RemainingInterval_EngineeringUnits,15020,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval,15021,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval_Definition,15022,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval_ValuePrecision,15023,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval_InstrumentRange,15024,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval_EURange,15025,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Interval_EngineeringUnits,15026,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_AdditionalInformation,15027,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Status,15028,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Reset,15029,Method
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Reset_InputArguments,15030,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Heating_Reset_OutputArguments,15031,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling,15032,Object
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval,15033,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval_Definition,15034,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval_ValuePrecision,15035,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval_InstrumentRange,15036,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval_EURange,15037,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_RemainingInterval_EngineeringUnits,15038,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval,15039,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval_Definition,15040,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval_ValuePrecision,15041,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval_InstrumentRange,15042,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval_EURange,15043,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Interval_EngineeringUnits,15044,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_AdditionalInformation,15045,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Status,15046,Variable
OperationType,15047,ObjectType
OperationType_ActiveErrors,15048,Variable
OperationType_HoursOfOperation,15049,Variable
OperationType_HoursOfOperation_Definition,15050,Variable
OperationType_HoursOfOperation_ValuePrecision,15051,Variable
OperationType_HoursOfOperation_InstrumentRange,15052,Variable
OperationType_HoursOfOperation_EURange,15053,Variable
OperationType_HoursOfOperation_EngineeringUnits,15054,Variable
OperationType_HighestActiveAlarmSeverity,15055,Variable
OperationType_DeviceMappingNumber,15056,Variable
OperationType_OperatingMode,15057,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Reset,15058,Method
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Reset_InputArguments,15059,Variable
TCD_Interface_DeviceZone_MaintenanceInformation_Cooling_Reset_OutputArguments,15060,Variable
DeviceZoneType_MaintenanceInformation,15061,Object
DeviceZoneType_MaintenanceInformation_Heating,15062,Object
DeviceZoneType_MaintenanceInformation_Heating_RemainingInterval,15063,Variable
OperationType_SwitchOn,15064,Method
OperationType_SwitchOn_InputArguments,15065,Variable
OperationType_SwitchOn_OutputArguments,15066,Variable
OperationType_SwitchOff,15067,Method
OperationType_SwitchOff_InputArguments,15068,Variable
OperationType_SwitchOff_OutputArguments,15069,Variable
TCD_Interface,15070,ObjectType
TCD_Interface_DeviceZone,15071,Object
TCD_Interface_DeviceZone_Temperature,15072,Object
TCD_Interface_DeviceZone_Temperature_SetValue_EURange,15073,Variable
TCD_Interface_DeviceZone_Temperature_SetValue_EngineeringUnits,15074,Variable
TCD_Interface_DeviceZone_Temperature_ActualValue,15075,Variable
TCD_Interface_DeviceZone_Temperature_ActualValue_Definition,15076,Variable
TCD_Interface_DeviceZone_Temperature_ActualValue_ValuePrecision,15077,Variable
